customer_id,region,segment,signup_date,contract_length_months,tenure_days,support_tickets_last_year,satisfaction_score,avg_order_value,orders_last_year,discount_pct,late_payments_last_year,churned
CUST-00037,Latin America,Mid-Market,2021-05-20,12,1867,2,8.5,120.3,7,0.091,1,0
CUST-00038,North America,SMB,2022-08-04,1,1426,6,6.5,179.52,1,0.088,1,0
CUST-00039,Latin America,Enterprise,2022-03-15,12,1568,5,5.9,231.28,7,0.192,0,0
CUST-00040,APAC,Mid-Market,2023-12-06,1,937,2,6.1,116.41,5,0.04,0,1
CUST-00041,Latin America,SMB,2024-08-12,1,687,1,8.4,227.65,10,0.09,0,1
CUST-00042,North America,SMB,2022-05-11,24,1511,3,8.0,68.78,7,0.161,0,0
CUST-00043,Latin America,SMB,2025-01-25,12,521,1,6.6,158.82,8,0.103,2,0
CUST-00044,Europe,SMB,2025-09-17,24,286,2,10.0,77.69,7,0.048,0,0
CUST-00045,Europe,SMB,2021-05-07,1,1880,1,7.6,183.66,5,0.053,0,0
CUST-00046,Latin America,SMB,2023-11-06,24,967,5,8.5,382.77,1,0.148,1,1
CUST-00047,Latin America,Mid-Market,2024-04-03,12,818,3,5.6,326.75,6,0.028,0,1
CUST-00048,APAC,SMB,2025-01-06,12,540,4,5.4,184.6,4,0.05,3,1
CUST-00049,Latin America,Enterprise,2022-05-24,12,1498,0,8.3,206.45,6,0.145,0,0
CUST-00050,Europe,Mid-Market,2022-11-22,24,1316,1,7.1,44.18,4,0.057,0,0
CUST-00051,Europe,SMB,2023-05-06,1,1151,1,7.1,198.42,6,0.148,1,0
CUST-00052,Europe,Enterprise,2021-01-01,24,2006,2,6.9,101.57,6,0.003,0,0
CUST-00053,APAC,SMB,2021-12-02,1,1671,0,6.6,85.2,7,0.114,0,0
CUST-00054,Latin America,Mid-Market,2021-02-06,1,1970,1,6.8,123.71,5,0.014,1,1
CUST-00055,Latin America,Mid-Market,2021-08-09,1,1786,2,7.3,136.62,6,0.096,0,0
CUST-00056,Europe,SMB,2024-05-08,12,783,2,3.3,345.49,6,0.024,0,1
CUST-00057,Latin America,SMB,2024-07-15,24,715,1,7.3,151.64,9,0.188,1,0
CUST-00058,North America,Mid-Market,2024-02-26,24,855,3,8.8,219.31,8,0.009,0,0
CUST-00059,Latin America,Mid-Market,2023-02-28,24,1218,4,9.9,242.18,11,0.059,0,0
CUST-00060,North America,Mid-Market,2022-02-13,1,1598,3,9.4,366.15,6,0.095,0,0
CUST-00061,Latin America,SMB,2023-08-10,12,1055,1,7.8,97.37,5,0.079,0,0
CUST-00062,North America,Mid-Market,2025-07-04,12,361,3,9.1,183.77,3,0.133,2,0
CUST-00063,APAC,Enterprise,2022-06-16,24,1475,3,8.3,139.57,5,0.065,0,0
CUST-00064,Europe,Mid-Market,2024-07-10,12,720,1,6.3,243.34,5,0.049,0,0
CUST-00065,Europe,SMB,2022-01-27,1,1615,0,9.3,176.93,7,0.026,1,0
CUST-00066,APAC,Mid-Market,2024-08-18,1,681,4,8.7,151.19,4,0.127,2,1
CUST-00067,North America,SMB,2024-09-08,1,660,2,5.5,102.0,6,0.193,1,1
CUST-00068,Europe,Enterprise,2024-06-26,1,734,5,7.4,175.7,2,0.113,0,0
CUST-00069,Europe,Enterprise,2025-09-23,12,280,2,8.1,364.42,3,0.101,0,0
CUST-00070,North America,SMB,2025-06-14,24,381,1,7.6,174.75,7,0.061,1,0
CUST-00071,North America,SMB,2025-12-28,12,184,3,6.9,65.94,9,0.195,0,0
CUST-00072,Europe,SMB,2022-10-05,36,1364,2,3.6,98.83,3,0.09,0,0
CUST-00073,Europe,Mid-Market,2025-12-03,12,209,6,9.2,170.2,4,0.043,0,0
CUST-00074,APAC,SMB,2022-02-01,24,1610,3,6.8,157.26,6,0.068,1,0
CUST-00075,Europe,SMB,2023-01-26,24,1251,1,7.9,108.26,8,0.158,1,0
CUST-00076,APAC,SMB,2024-06-30,24,730,3,5.9,227.7,7,0.148,2,1
CUST-00077,APAC,Enterprise,2021-10-30,12,1704,2,8.2,164.34,9,0.006,0,0
CUST-00078,Europe,SMB,2021-01-30,24,1977,4,6.8,131.38,4,0.011,0,0
CUST-00079,APAC,SMB,2024-05-04,1,787,0,8.1,75.02,7,0.104,0,1
CUST-00080,APAC,Enterprise,2025-02-12,12,503,3,8.1,248.08,6,0.032,1,0
CUST-00081,Europe,Mid-Market,2021-10-28,12,1706,2,5.4,189.53,2,0.01,0,1
CUST-00082,APAC,SMB,2022-04-17,1,1535,5,7.7,72.86,8,0.04,0,1
CUST-00083,Latin America,Mid-Market,2023-06-26,36,1100,2,7.6,170.11,5,0.007,0,0
CUST-00084,North America,SMB,2022-04-23,24,1529,2,3.1,334.42,9,0.061,0,1
CUST-00085,Latin America,SMB,2022-10-02,1,1367,2,8.0,209.97,5,0.106,0,0
CUST-00086,Latin America,SMB,2024-11-20,12,587,1,8.3,69.58,3,0.062,1,0
CUST-00087,North America,SMB,2023-10-14,12,990,3,6.7,72.89,4,0.108,0,1
CUST-00088,Latin America,SMB,2021-11-23,24,1680,1,6.0,38.23,2,0.074,1,0
CUST-00089,North America,SMB,2025-10-10,36,263,1,7.5,114.92,6,0.045,0,1
CUST-00090,Latin America,Mid-Market,2022-06-10,12,1481,5,6.6,65.41,4,0.037,2,1
CUST-00091,Europe,Enterprise,2024-08-16,12,683,3,8.5,109.53,6,0.064,0,0
CUST-00092,APAC,Enterprise,2022-06-03,24,1488,2,5.5,89.56,4,0.027,1,1
CUST-00093,Latin America,Enterprise,2024-11-25,12,582,3,8.0,180.97,6,0.089,1,0
CUST-00094,Europe,SMB,2021-03-07,12,1941,2,7.5,53.34,8,0.056,0,0
CUST-00095,Europe,Enterprise,2021-05-19,1,1868,1,9.2,109.89,9,0.121,0,0
CUST-00096,APAC,SMB,2025-07-26,36,339,1,6.8,283.71,6,0.087,1,0
CUST-00097,Europe,Mid-Market,2024-03-11,12,841,5,5.0,66.84,5,0.184,0,0
CUST-00098,North America,Enterprise,2022-05-31,36,1491,3,8.5,199.5,3,0.023,1,0
CUST-00099,North America,Enterprise,2022-07-10,24,1451,2,10.0,176.57,6,0.034,0,0
CUST-00100,North America,SMB,2021-07-31,12,1795,3,5.5,311.7,12,0.167,1,0
CUST-00101,Latin America,Enterprise,2021-03-26,1,1922,3,8.5,75.86,2,0.187,1,0
CUST-00102,APAC,Mid-Market,2024-06-01,1,759,1,7.1,221.23,10,0.05,0,1
CUST-00103,APAC,SMB,2023-05-11,24,1146,2,5.4,76.61,4,0.033,0,1
CUST-00104,APAC,Mid-Market,2022-03-29,1,1554,2,8.9,177.87,6,0.101,1,0
CUST-00105,Latin America,SMB,2022-08-13,12,1417,2,7.6,341.5,5,0.185,1,0
CUST-00106,Europe,SMB,2024-02-18,1,863,1,5.2,45.6,8,0.165,0,1
CUST-00107,Europe,SMB,2022-04-06,36,1546,8,10.0,179.54,3,0.02,0,0
CUST-00108,North America,Mid-Market,2025-02-17,1,498,3,7.7,225.88,12,0.181,0,0
CUST-00109,North America,SMB,2024-07-14,36,716,5,8.5,130.31,9,0.024,0,0
CUST-00110,APAC,SMB,2022-08-13,1,1417,3,6.8,149.5,3,0.008,0,1
CUST-00111,APAC,SMB,2023-07-17,12,1079,3,7.8,138.23,4,0.117,1,0
CUST-00112,North America,Mid-Market,2024-08-10,1,689,0,7.6,132.28,7,0.003,2,0
CUST-00113,Latin America,SMB,2023-05-12,1,1145,2,5.5,197.32,7,0.009,2,1
CUST-00114,North America,Mid-Market,2021-02-16,1,1960,1,5.3,232.58,10,0.144,0,0
CUST-00115,Latin America,Mid-Market,2021-04-09,36,1908,2,8.1,45.97,4,0.082,0,0
CUST-00116,North America,Mid-Market,2023-05-04,24,1153,2,7.1,291.68,3,0.162,0,0
CUST-00117,Latin America,SMB,2024-11-14,12,593,5,6.2,371.65,10,0.199,0,0
CUST-00118,Latin America,SMB,2022-10-20,12,1349,3,10.0,196.91,3,0.104,1,0
CUST-00119,Europe,Enterprise,2025-01-17,24,529,2,6.4,160.94,4,0.127,0,0
CUST-00120,Europe,SMB,2021-05-19,1,1868,2,7.3,174.64,8,0.164,0,0
CUST-00121,North America,SMB,2025-09-17,12,286,3,8.7,99.24,10,0.013,0,1
CUST-00122,Latin America,SMB,2024-01-18,1,894,2,7.7,220.38,6,0.006,0,0
CUST-00123,APAC,Enterprise,2021-07-12,1,1814,3,7.0,225.7,4,0.097,1,0
CUST-00124,Europe,Mid-Market,2024-10-05,24,633,6,7.0,183.96,3,0.058,0,1
CUST-00125,Latin America,Enterprise,2021-03-24,12,1924,5,7.7,146.46,6,0.032,0,0
CUST-00126,Europe,SMB,2025-08-19,24,315,4,6.4,445.5,5,0.045,1,0
CUST-00127,Europe,Mid-Market,2024-04-13,12,808,2,6.4,161.23,8,0.026,0,0
CUST-00128,Latin America,SMB,2021-04-02,12,1915,5,9.1,149.53,4,0.076,0,0
CUST-00129,APAC,SMB,2021-01-22,24,1985,0,7.8,162.14,8,0.033,0,0
CUST-00130,Europe,Enterprise,2025-05-25,12,401,2,8.0,169.26,6,0.161,0,0
CUST-00131,Latin America,SMB,2021-10-08,12,1726,0,10.0,115.85,5,0.115,0,0
CUST-00132,Europe,Enterprise,2023-01-29,1,1248,3,9.8,327.77,8,0.124,0,0
CUST-00133,North America,SMB,2023-08-16,1,1049,4,5.5,309.71,11,0.017,1,1
CUST-00134,Latin America,Mid-Market,2022-09-19,12,1380,2,5.8,138.97,4,0.013,2,0
CUST-00135,North America,Enterprise,2025-12-06,36,206,1,6.9,143.15,5,0.026,0,0
CUST-00136,North America,SMB,2023-08-06,24,1059,4,8.5,229.85,2,0.135,0,0
CUST-00137,North America,SMB,2022-11-04,12,1334,2,7.9,123.54,4,0.125,0,0
CUST-00138,Latin America,SMB,2023-04-02,1,1185,3,6.9,89.85,2,0.194,0,0
CUST-00139,Europe,SMB,2024-07-18,1,712,3,5.9,157.17,7,0.115,0,1
CUST-00140,Europe,SMB,2021-06-23,1,1833,2,9.1,300.06,4,0.054,2,0
CUST-00141,Latin America,SMB,2023-12-03,12,940,1,6.3,338.51,6,0.145,1,0
CUST-00142,Europe,SMB,2024-03-21,12,831,4,7.8,302.93,7,0.067,0,0
CUST-00143,Europe,SMB,2021-12-30,12,1643,4,7.5,244.22,6,0.1,2,0
CUST-00144,North America,Enterprise,2022-07-30,36,1431,2,7.4,98.38,8,0.171,0,0
CUST-00145,Latin America,Enterprise,2025-08-30,24,304,3,9.6,206.35,8,0.002,1,0
CUST-00146,North America,SMB,2025-09-08,12,295,2,9.0,294.25,11,0.162,0,0
CUST-00147,Latin America,SMB,2022-03-24,12,1559,3,9.0,207.57,3,0.183,0,0
CUST-00148,Europe,SMB,2023-06-29,24,1097,0,7.0,72.2,3,0.026,0,1
CUST-00149,North America,SMB,2024-11-24,12,583,1,10.0,96.73,4,0.175,0,0
CUST-00150,Europe,SMB,2024-03-01,1,851,2,7.5,169.42,5,0.056,0,0
CUST-00151,APAC,Mid-Market,2023-02-22,1,1224,7,9.0,87.73,5,0.17,0,0
CUST-00152,Europe,SMB,2024-09-28,12,640,3,8.9,145.81,8,0.114,0,0
CUST-00153,North America,SMB,2023-01-03,24,1274,0,6.4,234.34,3,0.117,0,0
CUST-00154,Europe,Mid-Market,2024-12-12,12,565,3,8.3,246.7,3,0.159,1,0
CUST-00155,North America,SMB,2025-08-25,1,309,1,8.8,98.87,7,0.109,0,0
CUST-00156,Europe,SMB,2024-02-13,12,868,3,8.3,107.73,6,0.035,0,0
CUST-00157,North America,Mid-Market,2022-09-08,12,1391,3,8.0,401.9,3,0.099,0,0
CUST-00158,Europe,SMB,2024-12-22,1,555,1,9.1,98.67,7,0.185,2,1
CUST-00159,Latin America,SMB,2025-12-23,12,189,5,6.8,128.85,5,0.067,0,0
CUST-00160,North America,Mid-Market,2025-04-26,12,430,2,7.9,54.01,6,0.146,0,1
CUST-00161,Latin America,SMB,2022-07-22,36,1439,1,9.3,92.54,8,0.124,1,0
CUST-00162,APAC,Enterprise,2023-12-29,1,914,1,6.6,194.48,10,0.018,0,0
CUST-00163,Latin America,Mid-Market,2024-02-07,24,874,4,8.0,154.48,7,0.01,0,0
CUST-00164,Europe,Enterprise,2021-07-28,24,1798,2,5.8,79.36,4,0.025,1,1
CUST-00165,APAC,Mid-Market,2024-05-24,1,767,4,8.0,193.14,6,0.1,0,0
CUST-00166,Latin America,SMB,2025-09-01,12,302,3,5.4,115.71,10,0.07,0,1
CUST-00167,Latin America,SMB,2023-07-02,1,1094,5,10.0,99.52,3,0.077,0,0
CUST-00168,Europe,SMB,2021-09-14,12,1750,3,8.9,323.06,3,0.12,0,0
CUST-00169,APAC,SMB,2021-04-10,24,1907,0,5.9,97.06,7,0.029,2,0
CUST-00170,Europe,Mid-Market,2025-11-22,36,220,6,6.6,203.62,4,0.064,0,0
CUST-00171,Latin America,Mid-Market,2024-05-18,24,773,2,7.9,90.24,6,0.014,1,0
CUST-00172,APAC,SMB,2024-07-14,1,716,1,6.6,210.26,9,0.08,0,0
CUST-00173,Latin America,SMB,2021-11-21,24,1682,1,5.6,156.17,2,0.11,2,0
CUST-00174,Europe,SMB,2022-10-23,24,1346,0,8.0,114.21,8,0.13,0,0
CUST-00175,North America,Enterprise,2022-04-26,12,1526,3,8.8,140.61,3,0.066,1,0
CUST-00176,North America,SMB,2023-05-21,12,1136,4,7.7,388.52,6,0.133,0,1
CUST-00177,Latin America,SMB,2023-01-23,1,1254,3,6.6,95.17,5,0.095,0,0
CUST-00178,North America,Mid-Market,2021-06-04,12,1852,1,5.7,149.39,5,0.147,1,0
CUST-00179,Europe,SMB,2022-02-13,36,1598,1,8.5,93.79,6,0.046,0,0
CUST-00180,Latin America,SMB,2022-10-29,12,1340,3,7.3,100.43,5,0.192,0,0
CUST-00181,APAC,Mid-Market,2021-11-16,1,1687,1,8.9,165.04,6,0.195,0,0
CUST-00182,APAC,Enterprise,2022-05-21,12,1501,3,9.5,88.25,6,0.028,0,0
CUST-00183,Europe,SMB,2025-12-13,1,199,2,8.6,137.32,6,0.004,0,0
CUST-00184,North America,SMB,2023-08-15,12,1050,1,6.6,127.41,3,0.042,0,1
CUST-00185,Latin America,Mid-Market,2024-09-05,12,663,3,7.3,107.38,5,0.166,0,0
CUST-00186,North America,SMB,2023-08-09,1,1056,3,6.4,157.65,0,0.11,0,0
CUST-00187,Latin America,Mid-Market,2024-06-25,36,735,1,8.0,101.2,4,0.172,0,0
CUST-00188,North America,Mid-Market,2022-10-21,1,1348,5,4.1,137.53,3,0.074,1,1
CUST-00189,Latin America,SMB,2021-01-21,24,1986,5,7.1,175.58,7,0.011,1,0
CUST-00190,Europe,Mid-Market,2023-01-09,1,1268,3,7.6,213.14,10,0.057,2,1
CUST-00191,APAC,SMB,2025-09-11,12,292,5,10.0,67.87,3,0.014,0,0
CUST-00192,Latin America,Enterprise,2021-11-26,1,1677,2,6.7,204.69,10,0.107,0,0
CUST-00193,Latin America,Mid-Market,2022-07-01,12,1460,2,6.5,287.86,6,0.028,1,0
CUST-00194,APAC,Mid-Market,2023-09-19,24,1015,1,6.5,30.38,3,0.192,1,0
CUST-00195,Europe,Mid-Market,2022-09-01,36,1398,0,8.5,136.99,6,0.188,0,0
CUST-00196,North America,SMB,2025-12-30,24,182,0,8.5,203.28,4,0.053,2,0
CUST-00197,North America,SMB,2025-09-14,24,289,1,4.3,31.62,2,0.134,0,0
CUST-00198,North America,SMB,2025-06-26,24,369,2,8.1,109.12,1,0.134,0,1
CUST-00199,APAC,SMB,2024-04-25,36,796,2,9.5,331.56,4,0.056,1,0
CUST-00200,Europe,Enterprise,2021-05-28,12,1859,2,4.4,78.23,7,0.014,2,0
CUST-00201,Latin America,Mid-Market,2023-04-22,24,1165,4,6.9,296.72,12,0.067,0,0
CUST-00202,North America,SMB,2024-10-21,12,617,0,5.8,160.69,4,0.082,1,0
CUST-00203,North America,SMB,2025-01-25,1,521,2,6.8,134.06,6,0.197,0,1
CUST-00204,North America,SMB,2024-08-11,1,688,2,8.6,134.57,7,0.089,0,1
CUST-00205,Europe,SMB,2023-01-02,36,1275,6,6.2,130.24,10,0.11,0,0
CUST-00206,Latin America,SMB,2021-06-20,12,1836,4,8.8,119.93,4,0.003,1,0
CUST-00207,North America,SMB,2021-04-04,1,1913,2,6.1,223.49,5,0.013,0,0
CUST-00208,Latin America,SMB,2022-03-11,1,1572,3,5.1,96.84,4,0.13,0,1
CUST-00209,APAC,Mid-Market,2024-11-30,12,577,3,5.6,57.61,6,0.105,0,0
CUST-00210,Latin America,Mid-Market,2023-12-25,1,918,2,7.6,90.12,9,0.139,1,0
CUST-00211,Europe,SMB,2021-09-13,1,1751,4,9.1,275.45,8,0.173,0,0
CUST-00212,Europe,SMB,2022-11-17,1,1321,1,8.9,107.72,5,0.19,0,0
CUST-00213,North America,SMB,2025-01-12,12,534,3,5.9,324.42,4,0.076,2,1
CUST-00214,Latin America,SMB,2021-02-10,12,1966,2,7.4,194.73,7,0.001,0,0
CUST-00215,APAC,SMB,2025-08-21,1,313,3,8.3,59.46,7,0.089,0,1
CUST-00216,North America,Mid-Market,2024-08-22,12,677,3,7.1,89.92,5,0.11,0,0
CUST-00217,Europe,Mid-Market,2022-07-09,1,1452,3,7.8,302.25,8,0.024,0,0
CUST-00218,APAC,SMB,2021-03-03,1,1945,7,8.3,109.19,8,0.092,0,0
CUST-00219,APAC,SMB,2023-08-10,12,1055,3,3.7,214.13,6,0.104,0,1
CUST-00220,Europe,Enterprise,2023-02-23,12,1223,3,9.2,388.67,5,0.093,0,0
CUST-00221,North America,Mid-Market,2021-03-09,24,1939,4,6.9,291.42,4,0.053,0,0
CUST-00222,Europe,Mid-Market,2021-11-30,12,1673,2,9.6,223.52,4,0.056,0,0
CUST-00223,North America,SMB,2021-03-29,12,1919,4,10.0,82.46,5,0.027,0,0
CUST-00224,Europe,SMB,2024-03-20,1,832,4,5.2,41.12,7,0.09,0,1
CUST-00225,APAC,SMB,2021-04-06,1,1911,2,6.1,219.07,8,0.001,0,0
CUST-00226,Latin America,Mid-Market,2025-06-03,12,392,6,8.3,214.04,6,0.136,0,0
CUST-00227,Europe,SMB,2021-07-19,36,1807,2,7.4,156.43,1,0.178,2,0
CUST-00228,North America,Mid-Market,2022-01-31,1,1611,1,8.7,128.19,4,0.08,2,1
CUST-00229,APAC,Mid-Market,2021-02-04,12,1972,4,5.9,296.52,2,0.165,1,0
CUST-00230,Europe,Enterprise,2024-05-11,1,780,2,9.8,36.27,10,0.023,1,1
CUST-00231,APAC,SMB,2021-01-31,12,1976,0,9.6,35.99,3,0.048,0,0
CUST-00232,North America,Mid-Market,2025-12-05,1,207,2,9.2,51.39,4,0.053,1,0
CUST-00233,Latin America,SMB,2024-08-04,1,695,2,5.9,122.78,5,0.04,0,0
CUST-00234,APAC,Mid-Market,2021-10-15,1,1719,1,8.7,80.68,7,0.076,0,0
CUST-00235,Latin America,Mid-Market,2024-06-10,12,750,1,10.0,319.48,9,0.197,0,0
CUST-00236,North America,SMB,2023-06-10,1,1116,3,8.9,183.73,8,0.184,0,0
CUST-00237,Latin America,Enterprise,2023-04-04,12,1183,4,10.0,93.92,4,0.187,0,0
CUST-00238,Europe,SMB,2022-02-25,12,1586,0,6.1,302.12,7,0.112,0,0
CUST-00239,Latin America,SMB,2021-03-11,12,1937,1,9.3,206.58,4,0.197,0,0
CUST-00240,APAC,SMB,2023-05-12,24,1145,4,4.7,99.85,11,0.007,0,0
CUST-00241,APAC,SMB,2024-02-12,12,869,2,7.1,70.96,7,0.017,0,0
CUST-00242,North America,SMB,2022-11-26,1,1312,1,7.7,145.64,5,0.066,0,0
CUST-00243,APAC,Mid-Market,2024-11-15,1,592,2,8.1,111.52,5,0.046,0,0
CUST-00244,APAC,Mid-Market,2023-05-07,24,1150,3,5.6,237.74,2,0.163,0,0
CUST-00245,Latin America,Enterprise,2022-03-28,1,1555,1,9.9,195.79,2,0.138,1,0
CUST-00246,APAC,Enterprise,2021-12-25,24,1648,2,5.1,247.42,8,0.169,1,1
CUST-00247,APAC,Mid-Market,2024-08-03,1,696,1,7.0,220.78,10,0.102,0,1
CUST-00248,Europe,SMB,2023-02-19,12,1227,1,3.1,45.56,1,0.157,1,1
CUST-00249,Europe,Enterprise,2025-10-18,1,255,5,9.3,68.51,4,0.095,0,0
CUST-00250,Europe,SMB,2025-07-10,1,355,2,7.1,376.74,1,0.072,0,1
CUST-00251,Latin America,SMB,2021-09-15,24,1749,5,7.9,66.65,9,0.032,1,0
CUST-00252,APAC,SMB,2022-07-01,1,1460,0,8.0,218.23,8,0.15,0,0
CUST-00253,Latin America,Mid-Market,2022-04-12,36,1540,1,6.6,183.11,7,0.055,0,0
CUST-00254,North America,SMB,2025-10-20,24,253,2,7.3,188.43,4,0.075,0,0
CUST-00255,North America,SMB,2023-07-10,12,1086,2,7.5,87.72,5,0.199,0,0
CUST-00256,Europe,SMB,2023-03-18,1,1200,2,7.6,143.74,9,0.118,0,1
CUST-00257,Europe,SMB,2021-01-13,24,1994,2,9.1,157.93,9,0.133,0,0
CUST-00258,North America,SMB,2025-12-02,12,210,2,8.2,31.29,10,0.022,0,1
CUST-00259,Latin America,SMB,2024-12-13,24,564,7,10.0,112.08,8,0.168,0,0
CUST-00260,Latin America,SMB,2025-07-17,1,348,6,5.4,311.44,13,0.178,0,1
CUST-00261,APAC,SMB,2024-09-15,24,653,3,6.7,259.33,6,0.083,0,0
CUST-00262,Latin America,SMB,2021-05-19,12,1868,1,8.3,331.2,7,0.008,0,0
CUST-00263,Europe,SMB,2024-05-03,1,788,1,8.9,245.89,2,0.15,0,0
CUST-00264,Europe,Mid-Market,2025-02-22,24,493,2,6.9,74.55,6,0.142,0,1
CUST-00265,Latin America,Enterprise,2023-01-22,24,1255,1,10.0,325.28,6,0.099,0,0
CUST-00266,Latin America,SMB,2022-03-27,1,1556,2,6.2,340.73,6,0.026,1,0
CUST-00267,APAC,Mid-Market,2025-04-01,12,455,0,8.2,138.35,9,0.059,0,0
CUST-00268,North America,SMB,2022-08-26,1,1404,2,8.5,169.24,1,0.199,0,1
CUST-00269,APAC,SMB,2024-08-12,24,687,2,7.2,105.44,5,0.158,0,1
CUST-00270,APAC,Mid-Market,2021-11-29,12,1674,1,5.4,252.11,8,0.009,0,0
CUST-00271,Europe,SMB,2023-02-16,24,1230,4,9.3,78.31,7,0.124,1,0
CUST-00272,North America,Enterprise,2022-08-04,1,1426,4,9.3,418.5,12,0.03,0,0
CUST-00273,Latin America,Mid-Market,2021-01-19,1,1988,1,8.0,137.53,5,0.161,2,0
CUST-00274,APAC,Mid-Market,2023-04-15,1,1172,4,7.5,160.69,8,0.094,0,0
CUST-00275,North America,Mid-Market,2025-11-04,12,238,0,6.9,247.19,4,0.13,0,1
CUST-00276,Europe,SMB,2023-04-27,12,1160,3,8.5,264.6,7,0.163,3,1
CUST-00277,Latin America,SMB,2025-04-04,24,452,4,8.3,115.57,5,0.101,1,0
CUST-00278,APAC,SMB,2025-01-06,12,540,4,8.3,190.59,3,0.061,0,1
CUST-00279,Europe,Mid-Market,2025-07-20,1,345,2,8.4,158.46,4,0.047,0,0
CUST-00280,Europe,SMB,2024-11-12,12,595,3,6.6,178.83,3,0.069,0,0
CUST-00281,Europe,Mid-Market,2023-09-28,1,1006,2,4.1,191.22,10,0.046,0,1
CUST-00282,Latin America,Enterprise,2022-12-11,12,1297,1,6.2,89.21,4,0.157,1,0
CUST-00283,APAC,Mid-Market,2022-09-05,1,1394,5,6.7,148.17,7,0.01,0,0
CUST-00284,North America,SMB,2021-05-06,24,1881,1,8.6,153.44,10,0.018,0,0
CUST-00285,North America,Enterprise,2023-12-23,1,920,1,8.1,68.84,4,0.176,2,1
CUST-00286,Europe,SMB,2024-10-26,1,612,2,4.8,124.36,6,0.151,0,1
CUST-00287,Latin America,SMB,2024-12-05,1,572,0,8.8,86.58,9,0.2,0,1
CUST-00288,North America,Mid-Market,2021-12-22,1,1651,1,10.0,120.31,8,0.192,1,0
CUST-00289,Latin America,SMB,2022-03-17,1,1566,2,7.4,174.01,7,0.164,0,0
