month,region,revenue,cogs,gross_profit,marketing_spend,opex_other,operating_income
2024-04-01,APAC,760614.0,468094.31,292519.69,50735.14,94380.22,147404.33
2024-04-01,Europe,783936.0,482030.05,301905.95,55569.83,93073.6,153262.52
2024-04-01,Latin America,756869.0,465527.03,291341.97,56410.22,102549.84,132381.90999999997
2024-04-01,North America,736444.0,451705.13,284738.87,44687.08,85510.58,154541.20999999996
2024-05-01,APAC,749288.0,462183.69,287104.31,48375.03,84320.91,154408.37
2024-05-01,Europe,750757.0,461164.25,289592.75,67125.91,89877.02,132589.82
2024-05-01,Latin America,767402.0,471192.78,296209.22,53813.1,81346.75,161049.36999999997
2024-05-01,North America,743863.0,459401.81,284461.19,59779.0,93756.56,130925.63
2024-06-01,APAC,671330.0,415009.23,256320.77000000002,45970.79,83399.24,126950.74
2024-06-01,Europe,677394.0,417872.95,259521.05,50639.95,86682.11,122198.98999999998
2024-06-01,Latin America,689973.0,426257.39,263715.61,54546.98,74638.85,134529.77999999997
2024-06-01,North America,677702.0,415973.14,261728.86,44861.79,72539.09,144327.97999999998
2024-07-01,APAC,632143.0,390438.56,241704.44,56852.22,76713.37,108138.85
2024-07-01,Europe,606141.0,372489.94,233651.06,37492.79,62494.64,133663.63
2024-07-01,Latin America,628839.0,386817.31,242021.69,44214.1,66607.18,131200.41
2024-07-01,North America,626101.0,386309.31,239791.69,49621.2,82188.39,107982.09999999999
2024-08-01,APAC,576700.0,354655.83,222044.16999999998,35464.33,77588.32,108991.51999999996
2024-08-01,Europe,565228.0,348148.49,217079.51,41742.86,73853.82,101482.83000000002
2024-08-01,Latin America,531441.0,326945.76,204495.24,40277.88,62429.9,101787.45999999999
2024-08-01,North America,554981.0,340458.79,214522.21000000002,46843.44,56158.32,111520.45000000001
2024-09-01,APAC,505990.0,311097.5,194892.5,38086.89,60009.4,96796.20999999999
2024-09-01,Europe,515221.0,315105.24,200115.76,42552.28,51833.38,105730.1
2024-09-01,Latin America,511951.0,314176.89,197774.11,31373.8,65758.66,100641.65
2024-09-01,North America,513492.0,316117.9,197374.09999999998,38948.99,65535.44,92889.66999999998
2024-10-01,APAC,537722.0,330243.42,207478.58000000002,42925.42,62066.87,102486.29000000004
2024-10-01,Europe,543949.0,333871.45,210077.55,46687.05,68771.98,94618.52
2024-10-01,Latin America,548090.0,335269.12,212820.88,48486.47,71820.92,92513.49
2024-10-01,North America,546070.0,336413.93,209656.07,43705.44,57795.73,108154.9
2024-11-01,APAC,950511.0,582742.15,367768.85,79308.69,95680.29,192779.87
2024-11-01,Europe,931552.0,572258.01,359293.99,56981.36,109428.55,192884.08000000002
2024-11-01,Latin America,944020.0,577509.66,366510.33999999997,56767.44,130096.19,179646.70999999996
2024-11-01,North America,931339.0,572242.75,359096.25,71023.7,120304.54,167768.01
2024-12-01,APAC,1111874.0,683027.55,428846.44999999995,85581.27,120240.75,223024.42999999993
2024-12-01,Europe,1117417.0,688180.32,429236.68000000005,97564.98,113423.04,218248.6600000001
2024-12-01,Latin America,1125696.0,691444.67,434251.32999999996,87625.7,137783.32,208842.30999999994
2024-12-01,North America,1113636.0,681711.14,431924.86,85782.52,119476.47,226665.86999999997
2025-01-01,APAC,800918.0,492001.93,308916.07,65411.85,97952.09,145552.13
2025-01-01,Europe,793391.0,486480.96,306910.04,62468.45,83215.12,161226.46999999997
2025-01-01,Latin America,788407.0,487498.58,300908.42,70073.65,105019.03,125815.73999999999
2025-01-01,North America,806283.0,495574.08,310708.92,65125.62,92118.96,153464.33999999997
2025-02-01,APAC,786434.0,485329.07,301104.93,62511.73,102086.52,136506.68
2025-02-01,Europe,824618.0,507183.17,317434.83,72853.63,111683.54,132897.66000000003
2025-02-01,Latin America,826290.0,506263.0,320027.0,71884.41,82954.8,165187.78999999998
2025-02-01,North America,807157.0,497166.57,309990.43,53046.92,98029.15,158914.36000000002
2025-03-01,APAC,990025.0,609320.81,380704.18999999994,65563.03,133256.27,181884.88999999993
2025-03-01,Europe,984150.0,604002.13,380147.87,73478.94,108732.43,197936.5
2025-03-01,Latin America,969666.0,598320.35,371345.65,58233.12,123603.2,189509.33000000002
2025-03-01,North America,975491.0,601574.07,373916.93000000005,80920.58,130115.3,162881.05000000005
2025-04-01,APAC,927811.0,569553.08,358257.92000000004,73191.69,97237.12,187829.11000000004
2025-04-01,Europe,942451.0,578142.26,364308.74,61615.7,109015.28,193677.75999999998
2025-04-01,Latin America,948698.0,583681.05,365016.94999999995,75049.41,106711.97,183255.56999999992
2025-04-01,North America,922317.0,566372.9,355944.1,81350.59,98741.65,175851.86000000002
2025-05-01,APAC,923001.0,568697.55,354303.44999999995,74090.26,107914.36,172298.82999999996
2025-05-01,Europe,951937.0,584526.96,367410.04000000004,61871.31,106488.96,199049.77000000002
2025-05-01,Latin America,953037.0,586552.44,366484.56000000006,79947.44,99141.17,187395.95000000007
2025-05-01,North America,927948.0,571271.35,356676.65,78201.16,120547.55,157927.94
2025-06-01,APAC,843971.0,519080.05,324890.95,65869.3,113067.51,145954.14
2025-06-01,Europe,860403.0,527165.11,333237.89,73120.21,95344.75,164772.93
2025-06-01,Latin America,869020.0,533282.59,335737.41000000003,64202.34,101948.81,169586.26000000007
2025-06-01,North America,824307.0,507712.0,316595.0,62014.72,92943.67,161636.61
2025-07-01,APAC,791731.0,486482.34,305248.66,61595.69,95115.25,148537.71999999997
2025-07-01,Europe,788012.0,487888.5,300123.5,68163.87,106344.68,125614.95000000001
2025-07-01,Latin America,794055.0,489110.2,304944.8,49273.92,99157.03,156513.85
2025-07-01,North America,749856.0,461011.65,288844.35,64857.38,84277.99,139708.97999999998
2025-08-01,APAC,692922.0,424166.22,268755.78,46659.31,80594.02,141502.45
2025-08-01,Europe,697150.0,429076.69,268073.31,53728.1,88004.89,126340.31999999999
2025-08-01,Latin America,715069.0,439348.34,275720.66,53252.6,83648.13,138819.92999999996
2025-08-01,North America,695955.0,428405.05,267549.95,54838.46,70076.28,142635.21000000002
2025-09-01,APAC,640763.0,394971.68,245791.32,39584.11,67239.75,138967.46000000002
2025-09-01,Europe,634264.0,392134.15,242129.84999999998,54189.97,82599.09,105340.78999999998
2025-09-01,Latin America,643456.0,397660.93,245795.07,57614.78,65714.15,122466.14000000001
2025-09-01,North America,645118.0,396593.36,248524.64,41585.19,64824.18,142115.27000000002
2025-10-01,APAC,640796.0,392719.18,248076.82,45633.73,88835.16,113607.93
2025-10-01,Europe,667611.0,412231.29,255379.71000000002,56256.12,66770.59,132353.00000000003
2025-10-01,Latin America,668837.0,409288.17,259548.83000000002,47262.51,82225.21,130061.11
2025-10-01,North America,652644.0,401355.08,251288.91999999998,44608.44,83812.33,122868.14999999998
2025-11-01,APAC,1135148.0,698923.04,436224.95999999996,82959.05,157860.97,195404.93999999997
2025-11-01,Europe,1122366.0,694364.8,428001.19999999995,96194.93,116885.2,214921.06999999995
2025-11-01,Latin America,1125027.0,691558.77,433468.23,96162.86,136346.06,200959.31
2025-11-01,North America,1112872.0,683320.45,429551.55000000005,74163.34,114271.51,241116.70000000007
2025-12-01,APAC,1335874.0,821686.21,514187.79000000004,85012.15,142974.43,286201.21
2025-12-01,Europe,1338579.0,824138.29,514440.70999999996,103107.2,177341.74,233991.76999999996
2025-12-01,Latin America,1318806.0,809384.95,509421.05000000005,116000.95,167669.94,225750.16000000003
2025-12-01,North America,1359331.0,834456.21,524874.79,96242.62,166910.52,261721.65000000005
2026-01-01,APAC,959562.0,587098.91,372463.08999999997,64517.8,99663.36,208281.93
2026-01-01,Europe,962478.0,592530.51,369947.49,84193.16,112540.22,173214.10999999996
2026-01-01,Latin America,970242.0,596197.49,374044.51,66685.51,132044.44,175314.56
2026-01-01,North America,987624.0,609658.29,377965.70999999996,84866.88,130042.14,163056.68999999994
2026-02-01,APAC,985021.0,605287.48,379733.52,82082.34,109677.15,187974.03000000006
2026-02-01,Europe,979424.0,604713.1,374710.9,73797.98,115020.11,185892.81000000006
2026-02-01,Latin America,955948.0,588906.21,367041.79000000004,78832.09,118826.18,169383.52000000008
2026-02-01,North America,977366.0,601371.25,375994.75,75036.63,117024.61,183933.51
2026-03-01,APAC,1145623.0,705769.74,439853.26,93583.38,121765.51,224504.37
2026-03-01,Europe,1144322.0,704454.63,439867.37,85419.19,151248.28,203199.9
2026-03-01,Latin America,1156105.0,712504.15,443600.85,102127.34,136548.79,204924.72
2026-03-01,North America,1161356.0,714915.22,446440.78,76371.29,124064.09,246005.40000000005
2026-04-01,APAC,1036102.08,636218.97,399883.11,67653.93,119054.66,213174.52
2026-04-01,Europe,624019.04,384638.01,239381.03000000003,39987.56,75128.78,124264.69000000003
2026-04-01,Latin America,1041487.44,640789.89,400697.54999999993,87679.89,138555.18,174462.47999999992
2026-04-01,North America,1015866.16,625449.54,390416.62,78534.91,118027.46,193854.24999999994
2026-05-01,APAC,948584.32,585439.15,363145.1699999999,78207.05,120197.09,164741.02999999994
2026-05-01,Europe,598279.0,365254.49,233024.51,38183.91,64462.47,130378.13
2026-05-01,Latin America,940578.44,578799.63,361778.80999999994,75353.47,103767.79,182657.55
2026-05-01,North America,930645.92,570401.96,360243.9600000001,55842.66,100828.66,203572.64000000004
2026-06-01,APAC,839259.28,515274.77,323984.51,66824.93,112937.44,144222.14
2026-06-01,Europe,507785.24,313401.96,194383.27999999997,43789.25,59454.7,91139.32999999997
2026-06-01,Latin America,852324.96,524217.48,328107.48,60156.29,88031.6,179919.59
2026-06-01,North America,823880.52,505745.12,318135.4,66646.29,94279.05,157210.06000000006
