date,region,avg_temp_c,precipitation_mm
2023-04-01,Latin America,28.9,4.6
2023-04-02,North America,23.7,2.4
2023-04-02,Europe,21.2,1.8
2023-04-02,APAC,37.8,0.0
2023-04-02,Latin America,36.0,1.2
2023-04-03,North America,24.2,1.2
2023-04-03,Europe,20.0,6.3
2023-04-03,APAC,34.3,0.0
2023-04-03,Latin America,34.0,0.8
2023-04-04,North America,24.1,1.3
2023-04-04,Europe,16.8,0.0
2023-04-04,APAC,41.7,8.0
2023-04-04,Latin America,31.2,18.1
2023-04-05,North America,23.7,4.3
2023-04-05,Europe,15.3,5.2
2023-04-05,APAC,32.4,8.3
2023-04-05,Latin America,38.1,0.2
2023-04-06,North America,20.8,11.4
2023-04-06,Europe,20.6,1.5
2023-04-06,APAC,37.0,1.0
2023-04-06,Latin America,33.2,0.0
2023-04-07,North America,19.6,5.9
2023-04-07,Europe,20.6,0.0
2023-04-07,APAC,38.5,1.2
2023-04-07,Latin America,33.7,0.9
2023-04-08,North America,25.9,0.0
2023-04-08,Europe,21.8,2.7
2023-04-08,APAC,37.9,6.7
2023-04-08,Latin America,30.5,0.0
2023-04-09,North America,24.7,0.0
2023-04-09,Europe,22.0,0.0
2023-04-09,APAC,37.5,5.2
2023-04-09,Latin America,30.0,0.7
2023-04-10,North America,23.3,0.0
2023-04-10,Europe,24.4,2.0
2023-04-10,APAC,38.6,2.1
2023-04-10,Latin America,32.3,2.6
2023-04-11,North America,24.7,0.0
2023-04-11,Europe,22.4,0.2
2023-04-11,APAC,36.6,7.4
2023-04-11,Latin America,37.8,8.3
2023-04-12,North America,28.6,0.0
2023-04-12,Europe,20.9,0.1
2023-04-12,APAC,32.6,3.7
2023-04-12,Latin America,35.3,2.7
2023-04-13,North America,20.3,0.0
2023-04-13,Europe,23.9,0.0
2023-04-13,APAC,36.0,1.5
2023-04-13,Latin America,34.8,0.7
2023-04-14,North America,23.1,5.9
2023-04-14,Europe,19.4,8.8
2023-04-14,APAC,37.0,1.4
2023-04-14,Latin America,33.7,5.7
2023-04-15,North America,24.7,6.4
2023-04-15,Europe,20.8,6.1
2023-04-15,APAC,38.4,4.4
2023-04-15,Latin America,30.7,0.7
2023-04-16,North America,24.9,2.9
2023-04-16,Europe,26.5,3.9
2023-04-16,APAC,36.7,2.3
2023-04-16,Latin America,26.4,0.0
2023-04-17,North America,22.0,1.0
2023-04-17,Europe,18.2,1.0
2023-04-17,APAC,40.5,0.0
2023-04-17,Latin America,37.0,0.0
2023-04-18,North America,19.6,1.5
2023-04-18,Europe,21.0,8.5
2023-04-18,APAC,34.6,8.8
2023-04-18,Latin America,24.6,0.2
2023-04-19,North America,26.8,0.0
2023-04-19,Europe,23.8,4.6
2023-04-19,APAC,38.2,2.0
2023-04-19,Latin America,33.9,0.8
2023-04-20,North America,22.2,0.0
2023-04-20,Europe,18.8,0.0
2023-04-20,APAC,37.9,0.8
2023-04-20,Latin America,32.2,6.4
2023-04-21,North America,26.0,0.0
2023-04-21,Europe,19.9,4.7
2023-04-21,APAC,33.1,3.3
2023-04-21,Latin America,31.0,0.0
2023-04-22,North America,23.5,3.3
2023-04-22,Europe,25.3,2.7
2023-04-22,APAC,37.4,0.0
2023-04-22,Latin America,33.9,0.0
2023-04-23,North America,21.5,0.0
2023-04-23,Europe,17.2,5.1
2023-04-23,APAC,35.0,0.0
2023-04-23,Latin America,27.9,1.0
2023-04-24,North America,27.6,0.0
2023-04-24,Europe,28.8,1.6
2023-04-24,APAC,36.4,1.0
2023-04-24,Latin America,30.6,0.0
2023-04-25,North America,24.8,6.5
2023-04-25,Europe,21.3,2.0
2023-04-25,APAC,36.6,0.0
2023-04-25,Latin America,34.6,3.6
2023-04-26,North America,22.7,0.0
2023-04-26,Europe,20.4,0.0
2023-04-26,APAC,30.3,0.8
2023-04-26,Latin America,33.2,0.5
2023-04-27,North America,21.3,3.3
2023-04-27,Europe,17.7,1.6
2023-04-27,APAC,30.5,0.0
2023-04-27,Latin America,29.9,2.7
2023-04-28,North America,25.1,0.0
2023-04-28,Europe,20.1,0.0
2023-04-28,APAC,29.7,7.3
2023-04-28,Latin America,32.8,3.4
2023-04-29,North America,24.8,1.3
2023-04-29,Europe,17.0,0.0
2023-04-29,APAC,40.8,4.2
2023-04-29,Latin America,35.5,4.7
2023-04-30,North America,20.3,3.9
2023-04-30,Europe,20.7,4.7
2023-04-30,APAC,38.0,0.0
2023-04-30,Latin America,35.2,2.6
2023-05-01,North America,27.6,0.0
2023-05-01,Europe,21.2,0.0
2023-05-01,APAC,32.0,2.1
2023-05-01,Latin America,32.2,0.8
2023-05-02,North America,21.3,0.1
2023-05-02,Europe,18.1,3.7
2023-05-02,APAC,38.8,3.1
2023-05-02,Latin America,34.4,5.5
2023-05-03,North America,26.5,0.0
2023-05-03,Europe,15.4,1.9
2023-05-03,APAC,33.0,7.6
2023-05-03,Latin America,34.6,0.0
2023-05-04,North America,25.4,4.7
2023-05-04,Europe,16.1,2.3
2023-05-04,APAC,37.3,0.3
2023-05-04,Latin America,30.9,0.0
2023-05-05,North America,19.4,5.5
2023-05-05,Europe,16.7,0.0
2023-05-05,APAC,37.4,7.1
2023-05-05,Latin America,30.3,1.8
2023-05-06,North America,19.1,0.2
2023-05-06,Europe,20.7,3.1
2023-05-06,APAC,32.1,0.0
2023-05-06,Latin America,29.2,1.3
2023-05-07,North America,20.7,0.0
2023-05-07,Europe,19.0,1.2
2023-05-07,APAC,35.3,0.3
2023-05-07,Latin America,27.7,2.9
2023-05-08,North America,23.0,0.0
2023-05-08,Europe,18.7,2.6
2023-05-08,APAC,36.1,0.0
2023-05-08,Latin America,29.0,0.0
2023-05-09,North America,26.4,7.4
2023-05-09,Europe,26.3,7.4
2023-05-09,APAC,27.8,3.5
2023-05-09,Latin America,31.8,1.0
2023-05-10,North America,19.0,7.2
2023-05-10,Europe,19.0,3.8
2023-05-10,APAC,29.6,0.0
2023-05-10,Latin America,28.0,0.0
2023-05-11,North America,24.6,0.3
2023-05-11,Europe,17.8,3.5
2023-05-11,APAC,29.1,0.0
2023-05-11,Latin America,30.5,0.7
2023-05-12,North America,21.1,4.6
2023-05-12,Europe,22.8,0.0
2023-05-12,APAC,32.4,0.0
2023-05-12,Latin America,34.3,3.6
2023-05-13,North America,23.9,0.0
2023-05-13,Europe,17.0,0.0
2023-05-13,APAC,27.9,0.4
2023-05-13,Latin America,28.9,6.3
2023-05-14,North America,16.2,7.8
2023-05-14,Europe,19.9,4.2
2023-05-14,APAC,34.2,3.0
2023-05-14,Latin America,30.4,1.2
2023-05-15,North America,21.8,0.0
2023-05-15,Europe,19.1,7.0
2023-05-15,APAC,32.0,2.3
2023-05-15,Latin America,33.7,0.0
2023-05-16,North America,27.5,0.0
2023-05-16,Europe,18.2,0.0
2023-05-16,APAC,35.1,0.9
2023-05-16,Latin America,26.3,2.6
2023-05-17,North America,25.2,7.5
2023-05-17,Europe,19.3,0.0
2023-05-17,APAC,36.0,0.0
2023-05-17,Latin America,28.5,1.2
2023-05-18,North America,18.4,5.9
2023-05-18,Europe,23.3,0.0
2023-05-18,APAC,32.0,11.5
2023-05-18,Latin America,38.2,0.3
2023-05-19,North America,20.0,0.0
2023-05-19,Europe,18.4,6.0
2023-05-19,APAC,35.4,3.5
2023-05-19,Latin America,31.5,0.7
2023-05-20,North America,17.2,4.1
2023-05-20,Europe,19.5,0.0
2023-05-20,APAC,36.8,7.7
2023-05-20,Latin America,30.4,5.9
2023-05-21,North America,19.3,0.0
2023-05-21,Europe,23.5,1.6
2023-05-21,APAC,32.9,9.2
2023-05-21,Latin America,31.9,4.4
2023-05-22,North America,18.3,1.5
2023-05-22,Europe,20.0,0.0
2023-05-22,APAC,29.0,0.0
2023-05-22,Latin America,30.4,2.3
2023-05-23,North America,19.4,0.3
2023-05-23,Europe,17.6,0.0
2023-05-23,APAC,35.8,2.4
2023-05-23,Latin America,34.1,0.4
2023-05-24,North America,23.3,7.2
2023-05-24,Europe,15.3,3.7
2023-05-24,APAC,27.6,3.1
2023-05-24,Latin America,27.6,0.0
2023-05-25,North America,22.4,0.3
2023-05-25,Europe,16.0,3.4
2023-05-25,APAC,35.5,2.7
2023-05-25,Latin America,32.0,8.9
2023-05-26,North America,19.8,0.0
2023-05-26,Europe,21.1,3.4
2023-05-26,APAC,33.6,11.3
2023-05-26,Latin America,27.6,4.3
2023-05-27,North America,14.9,0.0
2023-05-27,Europe,16.6,4.6
2023-05-27,APAC,33.9,0.0
2023-05-27,Latin America,24.9,16.1
2023-05-28,North America,19.4,9.1
2023-05-28,Europe,15.1,1.3
2023-05-28,APAC,31.0,0.0
2023-05-28,Latin America,35.5,7.6
2023-05-29,North America,23.6,1.6
2023-05-29,Europe,20.7,0.0
2023-05-29,APAC,32.8,0.4
2023-05-29,Latin America,28.8,9.8
2023-05-30,North America,15.7,0.0
2023-05-30,Europe,21.1,0.2
2023-05-30,APAC,30.2,9.5
2023-05-30,Latin America,31.7,3.7
2023-05-31,North America,18.1,0.9
2023-05-31,Europe,18.0,2.3
2023-05-31,APAC,30.3,15.8
2023-05-31,Latin America,31.5,3.8
2023-06-01,North America,20.2,2.0
2023-06-01,Europe,11.4,0.3
2023-06-01,APAC,24.6,0.1
2023-06-01,Latin America,29.3,11.3
2023-06-02,North America,22.0,0.0
2023-06-02,Europe,11.9,5.7
2023-06-02,APAC,31.4,0.0
2023-06-02,Latin America,29.3,0.0
2023-06-03,North America,20.0,2.3
2023-06-03,Europe,19.9,0.0
2023-06-03,APAC,31.8,0.0
2023-06-03,Latin America,29.5,1.9
2023-06-04,North America,21.5,15.5
2023-06-04,Europe,13.5,0.0
2023-06-04,APAC,32.6,0.0
2023-06-04,Latin America,28.0,0.0
2023-06-05,North America,17.2,2.0
2023-06-05,Europe,21.0,4.7
2023-06-05,APAC,30.1,0.0
2023-06-05,Latin America,29.8,6.8
2023-06-06,North America,16.1,1.6
2023-06-06,Europe,17.5,0.0
2023-06-06,APAC,30.1,0.0
2023-06-06,Latin America,28.6,2.7
2023-06-07,North America,18.7,0.0
2023-06-07,Europe,20.3,1.7
2023-06-07,APAC,22.6,1.0
2023-06-07,Latin America,25.7,2.3
2023-06-08,North America,24.0,2.4
2023-06-08,Europe,17.9,0.0
2023-06-08,APAC,29.7,0.0
2023-06-08,Latin America,25.6,2.3
2023-06-09,North America,23.1,0.0
2023-06-09,Europe,14.7,0.0
2023-06-09,APAC,27.2,2.5
2023-06-09,Latin America,26.2,0.6
2023-06-10,North America,23.5,1.4
2023-06-10,Europe,11.5,0.0
2023-06-10,APAC,30.1,0.0
2023-06-10,Latin America,33.1,0.8
2023-06-11,North America,15.7,6.4
2023-06-11,Europe,19.2,0.0
2023-06-11,APAC,31.5,4.5
2023-06-11,Latin America,31.6,0.7
2023-06-12,North America,15.4,0.0
2023-06-12,Europe,10.8,0.0
2023-06-12,APAC,24.8,0.0
2023-06-12,Latin America,24.7,1.3
2023-06-13,North America,22.1,0.0
2023-06-13,Europe,14.2,0.0
2023-06-13,APAC,32.6,0.0
2023-06-13,Latin America,28.6,0.7
2023-06-14,North America,25.2,1.8
2023-06-14,Europe,16.1,1.8
2023-06-14,APAC,33.0,3.7
2023-06-14,Latin America,33.6,0.0
2023-06-15,North America,18.9,5.5
2023-06-15,Europe,12.5,5.1
2023-06-15,APAC,29.3,8.2
2023-06-15,Latin America,27.7,3.4
2023-06-16,North America,20.2,0.7
2023-06-16,Europe,13.5,0.0
2023-06-16,APAC,26.0,1.4
2023-06-16,Latin America,21.2,4.0
2023-06-17,North America,20.0,0.0
2023-06-17,Europe,12.1,0.0
2023-06-17,APAC,24.0,0.0
2023-06-17,Latin America,29.5,1.8
2023-06-18,North America,21.6,5.2
2023-06-18,Europe,21.8,0.0
2023-06-18,APAC,28.5,2.7
2023-06-18,Latin America,32.1,0.0
2023-06-19,North America,17.6,0.0
2023-06-19,Europe,14.9,0.5
2023-06-19,APAC,27.9,0.0
2023-06-19,Latin America,28.0,0.0
2023-06-20,North America,12.4,2.6
2023-06-20,Europe,13.8,0.7
2023-06-20,APAC,23.4,5.4
2023-06-20,Latin America,22.2,0.0
2023-06-21,North America,17.4,14.9
2023-06-21,Europe,11.3,0.0
2023-06-21,APAC,25.6,0.0
2023-06-21,Latin America,23.3,11.3
2023-06-22,North America,20.9,0.9
2023-06-22,Europe,13.1,0.0
2023-06-22,APAC,21.0,0.0
2023-06-22,Latin America,27.1,4.9
2023-06-23,North America,16.7,12.6
2023-06-23,Europe,10.5,2.3
2023-06-23,APAC,25.4,3.3
2023-06-23,Latin America,29.4,2.6
2023-06-24,North America,14.4,4.0
2023-06-24,Europe,11.0,0.0
2023-06-24,APAC,25.4,0.0
2023-06-24,Latin America,26.9,1.3
2023-06-25,North America,18.3,0.0
2023-06-25,Europe,17.2,0.8
2023-06-25,APAC,27.0,3.4
2023-06-25,Latin America,25.2,0.0
2023-06-26,North America,12.1,0.2
2023-06-26,Europe,13.9,1.2
2023-06-26,APAC,34.4,0.0
2023-06-26,Latin America,25.7,0.0
2023-06-27,North America,19.5,3.8
2023-06-27,Europe,18.1,0.0
2023-06-27,APAC,33.1,0.0
2023-06-27,Latin America,28.1,0.0
2023-06-28,North America,11.8,2.8
2023-06-28,Europe,9.1,7.0
2023-06-28,APAC,29.4,3.5
2023-06-28,Latin America,26.9,2.3
2023-06-29,North America,19.2,0.0
2023-06-29,Europe,11.4,3.9
2023-06-29,APAC,25.7,5.5
2023-06-29,Latin America,27.8,0.0
2023-06-30,North America,17.3,2.5
2023-06-30,Europe,10.4,1.7
2023-06-30,APAC,21.7,0.0
2023-06-30,Latin America,22.2,0.0
2023-07-01,North America,11.1,1.5
2023-07-01,Europe,7.2,0.7
2023-07-01,APAC,27.8,0.0
2023-07-01,Latin America,27.1,3.6
2023-07-02,North America,19.3,8.6
2023-07-02,Europe,8.5,1.6
2023-07-02,APAC,20.7,7.4
2023-07-02,Latin America,23.0,0.1
2023-07-03,North America,13.6,0.1
2023-07-03,Europe,13.5,0.0
