customer_id,region,segment,churn_probability,predicted_clv_12mo,top_churn_drivers
CUST-03269,APAC,Mid-Market,0.952,1404.43,satisfaction_score (+1.45); late_payments_last_year (+1.06); orders_last_year (+0.72)
CUST-02157,North America,SMB,0.909,447.54,satisfaction_score (+1.64); late_payments_last_year (+0.97); contract_length_months (+0.61)
CUST-01616,Latin America,SMB,0.906,43.38,orders_last_year (+1.48); satisfaction_score (+1.48); late_payments_last_year (+1.04)
CUST-00260,Latin America,SMB,0.905,1808.19,satisfaction_score (+1.53); contract_length_months (+0.81); support_tickets_last_year (+0.65)
CUST-02809,APAC,Mid-Market,0.903,1083.89,satisfaction_score (+1.90); contract_length_months (+0.74); tenure_days (+0.68)
CUST-03756,Europe,Mid-Market,0.898,903.42,support_tickets_last_year (+1.29); satisfaction_score (+0.95); tenure_days (+0.67)
CUST-01345,APAC,SMB,0.898,-34.2,satisfaction_score (+1.62); orders_last_year (+1.01); contract_length_months (+0.48)
CUST-02376,APAC,Mid-Market,0.895,1426.85,satisfaction_score (+1.57); contract_length_months (+0.77); tenure_days (+0.55)
CUST-00048,APAC,SMB,0.894,445.65,satisfaction_score (+1.31); late_payments_last_year (+1.28); tenure_days (+0.54)
CUST-03592,Latin America,SMB,0.893,475.34,satisfaction_score (+1.92); late_payments_last_year (+0.92); contract_length_months (+0.64)
CUST-00855,North America,Mid-Market,0.892,520.72,satisfaction_score (+1.61); contract_length_months (+0.83); tenure_days (+0.61)
CUST-02122,North America,Mid-Market,0.888,315.44,satisfaction_score (+1.82); contract_length_months (+0.81); tenure_days (+0.74)
CUST-00303,Europe,Mid-Market,0.883,696.51,satisfaction_score (+1.65); contract_length_months (+0.82); tenure_days (+0.74)
CUST-00133,North America,SMB,0.883,1955.81,satisfaction_score (+2.25); contract_length_months (+0.67); discount_pct (-0.38)
CUST-00188,North America,Mid-Market,0.882,221.96,satisfaction_score (+1.88); contract_length_months (+0.80); discount_pct (+0.25)
CUST-01968,Latin America,Mid-Market,0.881,293.91,satisfaction_score (+1.40); support_tickets_last_year (+1.09); contract_length_months (+0.58)
CUST-01820,North America,SMB,0.879,172.89,satisfaction_score (+1.20); contract_length_months (+0.78); tenure_days (+0.71)
CUST-00652,North America,Mid-Market,0.879,31.99,orders_last_year (+1.10); tenure_days (+0.95); avg_order_value (+0.72)
CUST-03745,Europe,SMB,0.879,14.57,satisfaction_score (+1.71); orders_last_year (+1.23); late_payments_last_year (+0.97)
CUST-01020,Latin America,Mid-Market,0.879,147.93,satisfaction_score (+1.20); tenure_days (+0.86); contract_length_months (+0.78)
CUST-02608,Europe,SMB,0.878,1163.59,satisfaction_score (+1.52); late_payments_last_year (+1.22); tenure_days (+0.63)
CUST-02096,Latin America,SMB,0.876,225.16,satisfaction_score (+1.31); late_payments_last_year (+0.73); contract_length_months (+0.65)
CUST-03894,APAC,SMB,0.874,231.76,satisfaction_score (+1.85); contract_length_months (+0.77); tenure_days (+0.67)
CUST-00727,APAC,SMB,0.874,572.19,satisfaction_score (+1.11); late_payments_last_year (+0.95); tenure_days (+0.64)
CUST-02209,APAC,Enterprise,0.873,926.95,late_payments_last_year (+1.21); satisfaction_score (+0.92); contract_length_months (+0.64)
CUST-02703,North America,SMB,0.871,1832.8,satisfaction_score (+1.75); contract_length_months (+0.79); tenure_days (+0.76)
CUST-01631,APAC,Mid-Market,0.87,1315.86,late_payments_last_year (+1.08); tenure_days (+0.86); contract_length_months (+0.71)
CUST-00530,APAC,SMB,0.868,261.22,satisfaction_score (+1.41); tenure_days (+0.84); contract_length_months (+0.68)
CUST-03190,Latin America,Mid-Market,0.866,1001.09,satisfaction_score (+1.58); contract_length_months (+0.85); tenure_days (+0.60)
CUST-03211,APAC,Mid-Market,0.864,1017.33,late_payments_last_year (+1.55); tenure_days (+0.92); contract_length_months (+0.66)
CUST-03856,Europe,SMB,0.863,561.64,satisfaction_score (+1.41); late_payments_last_year (+1.03); tenure_days (+0.58)
CUST-02246,Latin America,Enterprise,0.862,438.02,satisfaction_score (+1.90); contract_length_months (+0.67); tenure_days (+0.47)
CUST-01331,Latin America,Mid-Market,0.86,522.33,satisfaction_score (+1.66); contract_length_months (+0.69); tenure_days (+0.63)
CUST-03292,Latin America,Mid-Market,0.86,313.64,satisfaction_score (+1.66); contract_length_months (+0.82); tenure_days (+0.77)
CUST-01763,Europe,Mid-Market,0.856,848.38,satisfaction_score (+1.53); tenure_days (+0.75); contract_length_months (+0.73)
CUST-01141,Europe,SMB,0.855,700.64,satisfaction_score (+1.46); contract_length_months (+0.74); tenure_days (+0.57)
CUST-02787,APAC,SMB,0.855,537.9,late_payments_last_year (+1.37); tenure_days (+0.80); contract_length_months (+0.75)
CUST-00113,Latin America,SMB,0.855,881.78,satisfaction_score (+2.25); late_payments_last_year (+0.72); contract_length_months (+0.48)
CUST-02415,Europe,Mid-Market,0.855,862.44,satisfaction_score (+2.04); contract_length_months (+0.71); discount_pct (+0.15)
CUST-01122,Europe,Mid-Market,0.854,1335.85,satisfaction_score (+1.70); contract_length_months (+0.72); avg_order_value (+0.50)
CUST-03664,Europe,SMB,0.854,590.38,satisfaction_score (+2.02); support_tickets_last_year (+1.09); contract_length_months (-0.27)
CUST-00639,APAC,SMB,0.852,675.36,satisfaction_score (+1.24); tenure_days (+0.85); contract_length_months (+0.81)
CUST-02741,North America,Mid-Market,0.852,853.85,satisfaction_score (+1.46); contract_length_months (+0.73); tenure_days (+0.47)
CUST-00618,Europe,Enterprise,0.851,1143.55,satisfaction_score (+1.78); contract_length_months (+0.69); tenure_days (+0.60)
CUST-03668,North America,SMB,0.849,446.35,satisfaction_score (+1.20); tenure_days (+0.77); contract_length_months (+0.74)
CUST-01266,APAC,SMB,0.846,160.61,late_payments_last_year (+1.18); tenure_days (+0.61); contract_length_months (+0.49)
CUST-01582,North America,SMB,0.845,1326.91,satisfaction_score (+1.58); contract_length_months (+0.75); tenure_days (+0.50)
CUST-03827,APAC,Enterprise,0.84,173.64,satisfaction_score (+1.75); orders_last_year (+1.44); discount_pct (+0.31)
CUST-00957,North America,Mid-Market,0.839,321.14,satisfaction_score (+2.35); contract_length_months (+0.64); late_payments_last_year (-0.16)
CUST-02462,North America,SMB,0.839,246.71,satisfaction_score (+1.52); contract_length_months (+0.69); tenure_days (+0.64)
CUST-01319,Europe,SMB,0.839,1620.38,support_tickets_last_year (+1.75); contract_length_months (+0.81); satisfaction_score (-0.50)
CUST-03062,APAC,SMB,0.837,145.17,late_payments_last_year (+1.26); tenure_days (+0.92); contract_length_months (+0.61)
CUST-02039,North America,Mid-Market,0.836,514.85,satisfaction_score (+1.46); contract_length_months (+0.76); tenure_days (-0.69)
CUST-01523,North America,SMB,0.836,566.75,satisfaction_score (+1.86); contract_length_months (+0.65); discount_pct (+0.52)
CUST-00281,Europe,Mid-Market,0.836,1073.2,satisfaction_score (+1.84); contract_length_months (+0.70); tenure_days (+0.17)
CUST-01423,APAC,Mid-Market,0.834,237.7,satisfaction_score (+1.31); late_payments_last_year (+1.16); avg_order_value (+0.25)
CUST-02229,Europe,Mid-Market,0.833,8.92,satisfaction_score (+1.83); orders_last_year (+1.07); tenure_days (+0.32)
CUST-00067,North America,SMB,0.831,381.38,satisfaction_score (+1.75); contract_length_months (+0.64); tenure_days (+0.44)
CUST-00327,Europe,SMB,0.83,569.5,satisfaction_score (+1.50); tenure_days (+0.75); contract_length_months (+0.71)
CUST-01618,North America,SMB,0.829,307.44,orders_last_year (+1.86); satisfaction_score (+1.11); contract_length_months (-0.62)
CUST-01210,Latin America,Enterprise,0.828,1728.0,satisfaction_score (+2.25); contract_length_months (+0.60); avg_order_value (+0.48)
CUST-01466,Europe,SMB,0.828,2759.99,late_payments_last_year (+1.40); satisfaction_score (+1.23); orders_last_year (+0.39)
CUST-02921,Latin America,Enterprise,0.827,822.21,satisfaction_score (+1.91); contract_length_months (+0.71); tenure_days (+0.63)
CUST-00654,North America,Mid-Market,0.826,1218.78,satisfaction_score (+1.87); contract_length_months (+0.65); discount_pct (+0.30)
CUST-00686,Europe,Mid-Market,0.824,1344.18,satisfaction_score (+1.67); contract_length_months (+0.71); orders_last_year (+0.33)
CUST-01658,Europe,Mid-Market,0.824,365.43,satisfaction_score (+1.23); contract_length_months (+0.73); tenure_days (+0.55)
CUST-01497,Latin America,SMB,0.822,339.79,satisfaction_score (+1.85); contract_length_months (+0.69); avg_order_value (+0.42)
CUST-01967,Europe,SMB,0.821,775.56,satisfaction_score (+1.11); contract_length_months (+0.76); tenure_days (+0.51)
CUST-02320,North America,SMB,0.821,1811.41,support_tickets_last_year (+1.62); contract_length_months (+0.82); discount_pct (+0.37)
CUST-03454,APAC,Mid-Market,0.82,285.89,support_tickets_last_year (+1.34); satisfaction_score (+0.87); contract_length_months (+0.69)
CUST-03829,Europe,SMB,0.819,1168.34,satisfaction_score (+1.77); contract_length_months (+0.58); avg_order_value (+0.31)
CUST-01265,APAC,Mid-Market,0.818,330.98,satisfaction_score (+2.04); tenure_days (-0.56); avg_order_value (+0.55)
CUST-01135,APAC,SMB,0.816,518.29,support_tickets_last_year (+1.71); contract_length_months (+0.83); satisfaction_score (-0.19)
CUST-01594,APAC,SMB,0.815,237.86,satisfaction_score (+1.31); contract_length_months (+0.64); tenure_days (+0.46)
CUST-02262,Latin America,SMB,0.814,1673.61,satisfaction_score (+1.88); contract_length_months (+0.53); tenure_days (+0.41)
CUST-01671,North America,Mid-Market,0.814,1458.54,satisfaction_score (+1.82); contract_length_months (+0.68); discount_pct (+0.33)
CUST-03285,North America,Mid-Market,0.814,409.69,late_payments_last_year (+1.18); tenure_days (+0.82); contract_length_months (+0.65)
CUST-02610,APAC,SMB,0.812,756.04,satisfaction_score (+1.59); contract_length_months (+0.65); tenure_days (+0.30)
CUST-02465,APAC,SMB,0.811,733.82,satisfaction_score (+1.65); tenure_days (+0.74); contract_length_months (+0.71)
CUST-03428,Europe,SMB,0.811,157.86,support_tickets_last_year (+1.56); tenure_days (+0.84); avg_order_value (+0.71)
CUST-00286,Europe,SMB,0.811,486.48,satisfaction_score (+1.17); contract_length_months (+0.89); tenure_days (+0.50)
CUST-03404,APAC,SMB,0.81,639.68,satisfaction_score (+1.93); avg_order_value (+0.76); tenure_days (-0.71)
CUST-03477,APAC,Enterprise,0.81,580.1,satisfaction_score (+1.97); contract_length_months (+0.76); tenure_days (+0.63)
CUST-01519,North America,SMB,0.809,3.35,satisfaction_score (+1.73); tenure_days (-1.34); orders_last_year (+0.69)
CUST-00688,Latin America,SMB,0.808,959.01,satisfaction_score (+2.29); tenure_days (+0.58); contract_length_months (-0.48)
CUST-00984,Latin America,SMB,0.808,624.33,satisfaction_score (+1.83); contract_length_months (+0.68); discount_pct (+0.20)
CUST-01657,Europe,SMB,0.807,338.01,tenure_days (+1.41); contract_length_months (+0.70); orders_last_year (+0.42)
CUST-01270,APAC,Mid-Market,0.806,868.45,satisfaction_score (+1.80); tenure_days (+0.51); discount_pct (+0.42)
CUST-03290,Latin America,Enterprise,0.805,2896.95,satisfaction_score (+2.19); contract_length_months (+0.66); orders_last_year (+0.43)
CUST-02020,North America,SMB,0.805,175.92,support_tickets_last_year (+1.45); contract_length_months (+0.62); tenure_days (+0.45)
CUST-02829,Latin America,Mid-Market,0.805,384.65,satisfaction_score (+2.29); contract_length_months (+0.68); tenure_days (+0.26)
CUST-03233,Europe,Mid-Market,0.804,1046.34,satisfaction_score (+1.78); contract_length_months (+0.72); avg_order_value (+0.36)
CUST-03453,Latin America,Mid-Market,0.803,490.33,satisfaction_score (+1.78); contract_length_months (+0.75); tenure_days (+0.43)
CUST-00339,Latin America,SMB,0.801,1164.97,satisfaction_score (+1.72); contract_length_months (+0.71); avg_order_value (+0.41)
CUST-03043,Latin America,SMB,0.801,271.53,satisfaction_score (+1.67); tenure_days (+0.85); contract_length_months (+0.75)
CUST-01916,Latin America,Enterprise,0.8,274.98,satisfaction_score (+1.55); late_payments_last_year (+1.07); contract_length_months (+0.56)
CUST-00989,Europe,Mid-Market,0.8,751.6,satisfaction_score (+1.56); contract_length_months (+0.69); avg_order_value (+0.26)
CUST-01230,North America,SMB,0.799,458.31,satisfaction_score (+1.48); contract_length_months (+0.72); tenure_days (+0.58)
CUST-03217,North America,Mid-Market,0.799,266.81,late_payments_last_year (+1.50); tenure_days (+0.91); avg_order_value (+0.42)
CUST-02586,North America,Mid-Market,0.798,525.45,satisfaction_score (+1.57); contract_length_months (+0.73); discount_pct (+0.12)
CUST-02675,Latin America,SMB,0.798,243.77,late_payments_last_year (+1.44); tenure_days (+0.70); avg_order_value (+0.53)
CUST-03648,APAC,Mid-Market,0.797,1041.39,late_payments_last_year (+1.56); contract_length_months (+0.55); tenure_days (+0.33)
CUST-01882,APAC,SMB,0.797,292.03,satisfaction_score (+1.52); contract_length_months (+0.70); tenure_days (+0.51)
CUST-02329,APAC,SMB,0.797,758.85,support_tickets_last_year (+1.71); contract_length_months (+0.82); satisfaction_score (-0.27)
CUST-00066,APAC,Mid-Market,0.791,471.21,late_payments_last_year (+1.16); contract_length_months (+0.58); tenure_days (+0.46)
CUST-01237,North America,SMB,0.79,325.41,orders_last_year (+1.57); contract_length_months (+0.62); avg_order_value (+0.19)
CUST-03418,APAC,SMB,0.789,456.35,contract_length_months (+0.91); tenure_days (+0.90); satisfaction_score (+0.36)
CUST-00835,Latin America,Mid-Market,0.789,360.14,tenure_days (+1.19); late_payments_last_year (+1.10); contract_length_months (+0.60)
CUST-00662,APAC,Mid-Market,0.785,232.8,support_tickets_last_year (+1.20); contract_length_months (+0.83); discount_pct (+0.41)
CUST-02646,North America,Mid-Market,0.784,618.83,satisfaction_score (+1.76); contract_length_months (+0.68); tenure_days (-0.17)
CUST-00955,Latin America,SMB,0.782,43.39,satisfaction_score (+1.42); tenure_days (+1.02); discount_pct (+0.18)
CUST-03020,APAC,SMB,0.781,295.5,satisfaction_score (+1.15); tenure_days (+0.85); contract_length_months (+0.64)
CUST-01441,Europe,SMB,0.779,246.59,support_tickets_last_year (+1.59); tenure_days (+0.67); avg_order_value (+0.46)
CUST-02062,APAC,Mid-Market,0.777,147.85,orders_last_year (+1.55); tenure_days (+0.67); contract_length_months (-0.48)
CUST-01495,North America,Mid-Market,0.776,573.32,satisfaction_score (+2.22); contract_length_months (+0.75); tenure_days (-0.20)
CUST-01869,Europe,SMB,0.776,564.57,satisfaction_score (+2.07); contract_length_months (+0.60); discount_pct (-0.44)
CUST-01679,APAC,SMB,0.775,221.02,satisfaction_score (+1.34); support_tickets_last_year (+0.86); tenure_days (+0.31)
CUST-02403,Europe,SMB,0.775,141.17,satisfaction_score (+1.81); contract_length_months (+0.69); discount_pct (+0.38)
CUST-01185,North America,SMB,0.774,292.09,satisfaction_score (+1.30); contract_length_months (+0.71); tenure_days (+0.41)
CUST-02644,North America,SMB,0.774,54.4,satisfaction_score (+1.76); orders_last_year (+1.22); tenure_days (-1.05)
CUST-03296,APAC,Mid-Market,0.773,999.68,satisfaction_score (+1.42); late_payments_last_year (+1.31); orders_last_year (+0.49)
CUST-03320,North America,SMB,0.773,937.54,satisfaction_score (+1.51); tenure_days (+0.63); avg_order_value (+0.47)
CUST-02900,North America,SMB,0.772,853.74,satisfaction_score (+1.90); tenure_days (-1.25); contract_length_months (+0.86)
CUST-00986,Latin America,Mid-Market,0.77,311.44,satisfaction_score (+1.71); contract_length_months (+0.73); tenure_days (+0.55)
CUST-01340,APAC,SMB,0.769,90.53,late_payments_last_year (+1.10); contract_length_months (+0.58); tenure_days (+0.50)
CUST-00611,APAC,Mid-Market,0.769,302.78,support_tickets_last_year (+1.24); late_payments_last_year (+1.09); tenure_days (+0.60)
CUST-01537,North America,SMB,0.769,1371.64,satisfaction_score (+1.08); support_tickets_last_year (+1.03); late_payments_last_year (+1.03)
CUST-03708,Europe,SMB,0.769,726.05,satisfaction_score (+1.54); tenure_days (-0.73); contract_length_months (+0.72)
CUST-02279,North America,Mid-Market,0.768,916.25,satisfaction_score (+2.18); discount_pct (+0.33); contract_length_months (-0.20)
CUST-01471,Latin America,SMB,0.767,1722.44,satisfaction_score (+1.14); contract_length_months (+0.67); avg_order_value (+0.45)
CUST-00081,Europe,Mid-Market,0.766,308.19,satisfaction_score (+2.06); tenure_days (-0.54); discount_pct (+0.51)
CUST-01749,APAC,SMB,0.766,380.0,satisfaction_score (+0.94); tenure_days (+0.69); contract_length_months (+0.64)
CUST-01268,North America,SMB,0.765,2044.55,satisfaction_score (+1.25); late_payments_last_year (+1.01); contract_length_months (-0.68)
CUST-03638,North America,Mid-Market,0.765,617.54,satisfaction_score (+1.81); late_payments_last_year (+1.07); contract_length_months (-0.44)
CUST-01250,North America,Mid-Market,0.764,142.65,satisfaction_score (+1.44); late_payments_last_year (+1.17); contract_length_months (-0.42)
CUST-02129,APAC,Mid-Market,0.764,577.17,satisfaction_score (+1.07); contract_length_months (+0.81); tenure_days (+0.79)
CUST-03175,Latin America,SMB,0.763,1705.89,satisfaction_score (+1.41); late_payments_last_year (+1.02); avg_order_value (+0.24)
CUST-03850,North America,SMB,0.762,207.52,satisfaction_score (+1.38); late_payments_last_year (+0.87); contract_length_months (+0.57)
CUST-02296,Europe,SMB,0.762,408.13,satisfaction_score (+2.03); tenure_days (+0.79); contract_length_months (-0.32)
CUST-00336,North America,SMB,0.762,236.47,satisfaction_score (+2.12); contract_length_months (-0.31); avg_order_value (+0.21)
CUST-02805,Europe,Mid-Market,0.761,214.49,satisfaction_score (+1.22); support_tickets_last_year (+1.15); contract_length_months (-0.56)
CUST-03298,Latin America,SMB,0.761,1395.05,support_tickets_last_year (+1.75); contract_length_months (+0.78); satisfaction_score (-0.34)
CUST-01997,North America,Mid-Market,0.761,588.42,satisfaction_score (+1.01); support_tickets_last_year (+0.78); contract_length_months (+0.68)
CUST-02057,APAC,SMB,0.76,703.48,satisfaction_score (+1.55); late_payments_last_year (+0.65); contract_length_months (+0.65)
CUST-02056,North America,SMB,0.76,823.86,satisfaction_score (+1.46); contract_length_months (+0.70); avg_order_value (+0.56)
CUST-03215,Latin America,SMB,0.758,355.05,support_tickets_last_year (+1.21); tenure_days (+0.83); avg_order_value (+0.78)
CUST-01522,North America,Enterprise,0.758,1158.69,satisfaction_score (+2.06); contract_length_months (+0.69); segment_Enterprise (-0.28)
CUST-00856,Latin America,Mid-Market,0.755,970.63,satisfaction_score (+2.13); contract_length_months (+0.74); tenure_days (-0.25)
CUST-01873,APAC,Mid-Market,0.755,375.91,satisfaction_score (+1.46); contract_length_months (+0.71); avg_order_value (+0.27)
CUST-02438,North America,SMB,0.754,1152.68,late_payments_last_year (+0.90); tenure_days (+0.81); contract_length_months (+0.79)
CUST-01059,Europe,SMB,0.753,345.1,satisfaction_score (+1.86); tenure_days (+0.72); contract_length_months (-0.64)
CUST-00464,Latin America,Mid-Market,0.752,1138.92,satisfaction_score (+1.52); contract_length_months (+0.70); tenure_days (+0.47)
CUST-02953,Europe,Mid-Market,0.752,589.2,satisfaction_score (+1.51); contract_length_months (+0.64); discount_pct (+0.32)
CUST-02861,Europe,SMB,0.749,1309.38,satisfaction_score (+1.71); contract_length_months (+0.63); tenure_days (-0.30)
CUST-03793,Latin America,SMB,0.749,541.84,satisfaction_score (+1.76); contract_length_months (+0.68); tenure_days (-0.30)
CUST-03338,APAC,Mid-Market,0.748,1306.49,support_tickets_last_year (+1.10); contract_length_months (+0.59); avg_order_value (-0.55)
CUST-02012,North America,SMB,0.748,364.82,satisfaction_score (+1.49); contract_length_months (+0.66); tenure_days (-0.42)
CUST-00672,Europe,SMB,0.746,1548.94,satisfaction_score (+1.95); tenure_days (+0.68); contract_length_months (-0.21)
CUST-03065,North America,SMB,0.746,448.42,satisfaction_score (+2.06); contract_length_months (+0.73); tenure_days (-0.22)
CUST-00477,Latin America,Mid-Market,0.746,367.11,support_tickets_last_year (+1.59); tenure_days (+0.84); contract_length_months (-0.54)
CUST-00158,Europe,SMB,0.745,513.17,late_payments_last_year (+0.89); tenure_days (+0.83); contract_length_months (+0.62)
CUST-00933,North America,SMB,0.745,253.68,tenure_days (+1.03); contract_length_months (+0.75); discount_pct (+0.44)
CUST-03581,North America,SMB,0.743,719.2,support_tickets_last_year (+1.53); contract_length_months (+0.82); tenure_days (-0.51)
CUST-01417,North America,SMB,0.743,209.52,support_tickets_last_year (+1.45); contract_length_months (+0.89); satisfaction_score (-0.30)
CUST-03337,North America,SMB,0.742,1352.13,tenure_days (+0.77); contract_length_months (+0.74); discount_pct (+0.52)
CUST-03711,Europe,Enterprise,0.741,283.11,satisfaction_score (+1.48); tenure_days (+0.72); contract_length_months (+0.71)
CUST-02904,Latin America,SMB,0.74,2267.3,satisfaction_score (+1.90); contract_length_months (+0.69); tenure_days (-0.45)
CUST-02210,North America,SMB,0.74,240.9,late_payments_last_year (+1.45); contract_length_months (-0.42); satisfaction_score (+0.41)
CUST-00905,APAC,SMB,0.739,818.17,satisfaction_score (+1.76); contract_length_months (+0.65); tenure_days (-0.35)
CUST-01245,North America,SMB,0.739,773.3,satisfaction_score (+1.47); contract_length_months (+0.57); discount_pct (+0.24)
CUST-01558,North America,Enterprise,0.738,1500.23,satisfaction_score (+1.81); contract_length_months (+0.80); tenure_days (-0.77)
CUST-03840,North America,Mid-Market,0.735,1726.39,satisfaction_score (+1.18); contract_length_months (+0.74); avg_order_value (+0.49)
CUST-03180,Latin America,Mid-Market,0.735,250.86,late_payments_last_year (+1.06); tenure_days (+0.78); contract_length_months (+0.67)
CUST-00106,Europe,SMB,0.735,285.49,satisfaction_score (+1.42); contract_length_months (+0.64); discount_pct (+0.17)
CUST-02118,Europe,Enterprise,0.734,1078.73,satisfaction_score (+2.67); segment_Enterprise (-0.45); avg_order_value (+0.28)
CUST-01397,Europe,SMB,0.734,1223.05,satisfaction_score (+1.68); contract_length_months (+0.72); tenure_days (-0.57)
CUST-02202,Europe,SMB,0.734,1780.56,contract_length_months (+1.00); tenure_days (+0.79); discount_pct (+0.51)
CUST-02188,APAC,SMB,0.734,696.93,satisfaction_score (+1.51); discount_pct (+0.41); contract_length_months (-0.25)
CUST-03401,Latin America,SMB,0.733,1401.38,satisfaction_score (+1.79); tenure_days (+0.63); contract_length_months (-0.29)
CUST-02134,APAC,Mid-Market,0.732,1209.04,tenure_days (+0.96); contract_length_months (+0.84); satisfaction_score (-0.39)
CUST-03490,North America,SMB,0.732,1414.43,satisfaction_score (+0.89); contract_length_months (+0.88); tenure_days (+0.49)
CUST-03248,Europe,Enterprise,0.731,443.27,satisfaction_score (+2.38); discount_pct (+0.74); tenure_days (-0.49)
CUST-02159,North America,SMB,0.731,335.02,satisfaction_score (+1.27); contract_length_months (+0.78); tenure_days (+0.47)
CUST-01833,APAC,SMB,0.73,316.15,satisfaction_score (+1.70); tenure_days (+0.48); contract_length_months (-0.40)
CUST-02287,North America,SMB,0.73,265.59,support_tickets_last_year (+1.37); tenure_days (-0.83); contract_length_months (+0.78)
CUST-00139,Europe,SMB,0.729,698.55,satisfaction_score (+1.00); contract_length_months (+0.76); tenure_days (+0.65)
CUST-03992,APAC,SMB,0.729,3604.17,late_payments_last_year (+1.52); orders_last_year (+0.56); tenure_days (+0.40)
CUST-03964,APAC,SMB,0.728,850.07,satisfaction_score (+1.69); late_payments_last_year (+0.55); contract_length_months (+0.55)
CUST-02672,North America,Enterprise,0.726,528.42,satisfaction_score (+1.78); contract_length_months (+0.66); segment_Enterprise (-0.24)
CUST-00469,Europe,Mid-Market,0.725,720.4,late_payments_last_year (+1.08); tenure_days (+0.88); contract_length_months (+0.79)
CUST-03246,Europe,Mid-Market,0.725,1153.26,late_payments_last_year (+1.29); contract_length_months (+0.52); tenure_days (+0.23)
CUST-02618,Europe,Enterprise,0.725,680.96,satisfaction_score (+1.34); contract_length_months (+0.61); avg_order_value (+0.51)
CUST-02153,APAC,Mid-Market,0.724,330.33,satisfaction_score (+2.12); contract_length_months (-0.35); discount_pct (+0.29)
CUST-00292,North America,Mid-Market,0.724,227.97,satisfaction_score (+1.62); contract_length_months (+0.81); discount_pct (+0.28)
CUST-03554,APAC,Mid-Market,0.724,1315.93,satisfaction_score (+2.67); contract_length_months (-0.24); discount_pct (+0.22)
CUST-00385,Europe,SMB,0.723,267.44,support_tickets_last_year (+1.56); contract_length_months (+0.93); satisfaction_score (-0.59)
CUST-00676,Europe,SMB,0.723,970.86,satisfaction_score (+1.99); contract_length_months (-0.39); avg_order_value (+0.33)
CUST-03672,Latin America,SMB,0.718,146.1,tenure_days (+1.23); contract_length_months (+0.59); discount_pct (+0.29)
CUST-00643,Latin America,Mid-Market,0.717,562.28,satisfaction_score (+1.66); contract_length_months (+0.64); tenure_days (+0.33)
CUST-01009,North America,SMB,0.717,980.06,satisfaction_score (+2.04); discount_pct (+0.50); contract_length_months (-0.32)
CUST-00927,North America,Enterprise,0.716,1173.27,satisfaction_score (+1.85); contract_length_months (+0.61); tenure_days (-0.20)
CUST-02584,Europe,Mid-Market,0.715,666.2,satisfaction_score (+1.42); contract_length_months (+0.72); avg_order_value (-0.21)
CUST-01938,North America,SMB,0.714,862.6,satisfaction_score (+1.30); late_payments_last_year (+0.98); tenure_days (+0.42)
CUST-00671,Europe,SMB,0.714,1629.56,tenure_days (+1.12); contract_length_months (+0.73); satisfaction_score (-0.44)
CUST-01597,APAC,SMB,0.713,765.69,satisfaction_score (+1.21); support_tickets_last_year (+0.84); tenure_days (+0.52)
CUST-03425,Europe,SMB,0.711,786.76,support_tickets_last_year (+1.81); satisfaction_score (-0.86); contract_length_months (+0.70)
CUST-00606,Europe,SMB,0.711,447.28,satisfaction_score (+1.68); tenure_days (+0.65); contract_length_months (-0.51)
